last_name,first_name,ssn,email
Fleming,Tina,619-16-7988,Tina.Fleming@spookyboys.cia.gov
Shah,Erica,164-51-7615,Erica.Shah@spookyboys.cia.gov
Ortiz,Paula,051-83-3290,Paula.Ortiz@spookyboys.cia.gov
Hendricks,James,776-83-2884,James.Hendricks@spookyboys.cia.gov
King,Lauren,197-94-2398,Lauren.King@spookyboys.cia.gov
Cowan,David,252-92-1832,David.Cowan@spookyboys.cia.gov
Burton,Andrew,296-23-6842,Andrew.Burton@spookyboys.cia.gov
Baker,Julian,337-40-7543,Julian.Baker@spookyboys.cia.gov
Castro,Scott,399-46-5595,Scott.Castro@spookyboys.cia.gov
Rodriguez,Billy,014-18-2503,Billy.Rodriguez@spookyboys.cia.gov
Leblanc,Darrell,005-82-7918,Darrell.Leblanc@spookyboys.cia.gov
Hammond,David,561-17-6312,David.Hammond@spookyboys.cia.gov
